[000:02:52;21] . 
[000:02:53;00] >> WE'RE ONE MINUTE AWAY.
[000:02:54;00] ONE MINUTE AWAY.
[000:03:50;18] LESTER HOLT:  GOOD EVENING FROM
[000:03:52;18] HOFSTRA UNIVERSITY IN 
[000:03:53;19] HEMPSTEAD, NEW YORK.
[000:03:54;22] I'M LESTER HOLT, ANCHOR OF NBC 
[000:03:57;21] NIGHTLY NEWS.
[000:03:58;06] THE PARTICIPANTS TONIGHT ARE 
[000:03:59;23] DONALD TRUMP AND HILLARY 
[000:04:01;27] CLINTON.
[000:04:02;09] THIS DEBATE IS SPONSORED BY THE
[000:04:04;22] COMMISSION ON PRESIDENTIAL 
[000:04:06;22] DEBATES, A NONPARTIAL 
[000:04:08;22] NONPARTISAN ORGANIZATION.
[000:04:09;23] A COMMISSIONER HAS DRAFTED THE 
[000:04:12;01] FORMAT AND THE RULES HAVE BEEN 
[000:04:13;07] AGREED TO.
[000:04:13;27] THE 90-MINUTE DEBATE IS DIVIDED
[000:04:16;01] INTO SIX SEGMENTS, EACH 15 
[000:04:18;01] MINUTES LONG.
[000:04:18;26] WE'LL EXPLORE THREE TOPIC AREAS
[000:04:21;27] TONIGHT: ACHIEVING PROSPERITY, 
[000:04:23;05] AMERICA'S DIRECTION, AND 
[000:04:25;00] SECURING AMERICA.
[000:04:25;17] AT THE START OF EACH SEGMENT, I
[000:04:27;05] WILL ASK THE SAME LEAD-OFF 
[000:04:29;05] QUESTION TO BOTH CANDIDATES, 
[000:04:30;05] AND THEY WILL EACH HAVE UP TO 
[000:04:31;07] TWO MINUTES TO RESPOND.
[000:04:33;00] FROM THAT POINT UNTIL THE END 
[000:04:35;01] OF THE SEGMENT, WE'LL HAVE AN 
[000:04:36;08] OPEN DISCUSSION.
[000:04:37;01] THE QUESTIONS ARE MINE, AND 
[000:04:39;04] HAVE NOT BEEN SHARED WITH THE 
[000:04:40;10] COMMISSION OR THE CAMPAIGN'S.
[000:04:41;14] THE AUDIENCE HERE IN THE ROOM 
[000:04:42;15] HAS AGREED TO REMAIN SILENT SO 
[000:04:44;13] THAT WE CAN FOCUS ON WHAT THE 
